iteration,total_runs,obs_realization,par_realization,zball,zb003,zb007,zb005,zb001,zb002,zb006,zb004,burnin,valid,oobs
0,266,286,286,0.858203,192816,31783.9,198644,688458,865113,194655,281250,0,0,0
0,266,287,287,0.751854,192765,33534.2,198656,693242,852184,211880,285551,0,0,0
0,266,288,288,0.842333,191315,31553,196071,696846,1.04074e+06,207113,341816,0,0,0
0,266,290,290,0.796043,192694,32488.4,198275,686518,993933,202398,327966,0,0,0
0,266,292,292,0.828005,192310,32915.9,198923,686685,836611,200670,280566,0,0,0
0,266,293,293,0.782952,192109,33355.6,199043,690268,843427,207326,283064,0,0,0
0,266,294,294,0.796783,192585,32841.4,197725,696299,865963,209942,286307,0,0,0
0,266,295,295,0.85204,191800,33202.8,197599,714090,1.14977e+06,199580,374537,0,0,0
0,266,296,296,0.860587,191859,31969.5,196329,700968,844846,200446,282770,0,0,0
0,266,297,297,0.870432,192215,31949.9,199353,709123,841453,197165,278436,0,0,0
0,266,298,298,0.879997,192434,32021.3,198818,686926,901051,198481,299198,0,0,0
0,266,base,base,0.85377,192369,32604.4,198398,691524,843272,198779,281861,0,0,0
1,630,0,0,0.852053,192246,31731.3,198571,685242,843415,204575,282762,0,0,0
1,630,1,1,0.858701,192000,32551.6,196648,702573,843477,201001,281639,0,0,0
1,630,2,2,0.808774,192330,33250.6,196409,687859,831152,206611,284073,0,0,0
1,630,4,4,0.812941,192171,32471.4,196194,693398,896894,191610,293749,0,0,0
1,630,5,5,0.814558,191761,31964.1,197816,698660,863842,205979,284159,0,0,0
1,630,6,6,0.870225,191689,31914.7,198594,686968,837475,197420,276708,0,0,0
1,630,7,7,0.868701,192016,31780.7,196592,691535,857475,195962,273134,0,0,0
1,630,8,8,0.820052,192701,32780.4,197894,696327,847768,196591,276995,0,0,0
1,630,9,9,0.812012,192227,30593.8,197928,688363,839533,209229,280692,0,0,0
1,630,10,10,0.883401,192014,32203.7,196806,694305,845990,197719,284416,0,0,0
1,630,11,11,0.904559,191578,32275.4,198151,690792,835257,197457,280621,0,0,0
1,630,12,12,0.88131,192117,32093.9,196501,693803,836173,196242,281924,0,0,0
1,630,13,13,0.904433,192154,31962.8,196490,685923,844453,194774,279525,0,0,0
1,630,14,14,0.84956,192327,32794.3,197708,691916,837495,198625,282664,0,0,0
1,630,15,15,0.794723,191409,32317.9,196574,684631,851497,207377,279865,0,0,0
1,630,16,16,0.763714,191902,33130.4,196800,691354,853649,205512,275864,0,0,0
1,630,17,17,0.86138,192552,32774,199323,698859,847214,197239,282956,0,0,0
1,630,18,18,0.855346,192163,32735.4,197042,690484,835618,196553,280825,0,0,0
1,630,19,19,0.790361,191666,32707.7,197334,697832,840918,213697,281472,0,0,0
1,630,20,20,0.878581,191530,33294.8,197710,686457,845319,195055,282904,0,0,0
1,630,21,21,0.797147,192197,31754.1,196630,689053,846784,208829,279080,0,0,0
1,630,22,22,0.862951,192485,33450,198163,689447,845901,198678,280319,0,0,0
1,630,24,24,0.867598,192189,32795.1,197464,686773,834132,200650,282847,0,0,0
1,630,25,25,0.851083,192142,31938.3,195987,686386,830330,204428,277972,0,0,0
1,630,26,26,0.788528,192807,33337.6,197170,686375,846797,205123,284543,0,0,0
1,630,27,27,0.871405,191882,32631.5,196719,691094,840639,198699,281593,0,0,0
1,630,30,30,0.919335,191305,31758.2,196934,702272,841390,194936,274385,0,0,0
1,630,31,31,0.904472,191682,34696.6,199953,686451,834853,194671,281292,0,0,0
1,630,32,32,0.870591,192002,32399.5,197659,819064,924558,199729,280990,0,0,0
1,630,36,36,0.892886,191864,31641,197175,704461,845045,196053,280729,0,0,0
1,630,37,37,0.914932,192107,31168.6,196670,718685,852038,197036,278730,0,0,0
1,630,38,38,0.776699,191845,31720.3,199070,688158,853149,210011,286824,0,0,0
1,630,40,40,0.820551,192037,32824.2,196997,685546,864976,202627,285570,0,0,0
1,630,41,41,0.87882,191894,31396.7,196392,684504,836595,195881,278354,0,0,0
1,630,42,42,0.876858,191580,32343.9,198022,685247,831254,202346,285296,0,0,0
1,630,43,43,0.779926,191858,32012.7,197641,715211,862110,210363,283199,0,0,0
1,630,44,44,0.884538,192132,32604.4,198017,687085,842612,194714,280883,0,0,0
1,630,45,45,0.872199,192304,32263,199061,692269,843463,198779,278666,0,0,0
1,630,47,47,0.895274,192356,32852.5,197710,684430,835855,201021,282450,0,0,0
1,630,50,50,0.816435,192137,32309.8,196274,685525,848000,201334,285106,0,0,0
1,630,51,51,0.854649,192604,32774.1,196736,685934,847946,198739,279341,0,0,0
1,630,52,52,0.800074,191812,32283.4,198574,686136,846689,209554,284888,0,0,0
1,630,53,53,0.813057,192228,31574.8,198442,692114,843463,210789,283546,0,0,0
1,630,54,54,0.808543,192399,30787.9,197778,687354,843213,209347,283206,0,0,0
1,630,56,56,0.869985,192335,31100.1,196797,686783,838336,197674,281227,0,0,0
1,630,57,57,0.844468,191769,31667.8,196443,693408,842965,200475,279855,0,0,0
1,630,58,58,0.852554,192051,32520.8,197212,692331,840015,199748,282955,0,0,0
1,630,60,60,0.797859,192509,32024.2,197828,686311,1.07567e+06,208416,355157,0,0,0
1,630,62,62,0.887143,192080,32542.2,197641,685052,837850,198402,281837,0,0,0
1,630,63,63,0.84625,191048,31611.5,197072,691352,837457,202556,286190,0,0,0
1,630,64,64,0.876864,192177,33144.6,196897,690655,846708,199925,284934,0,0,0
1,630,65,65,0.912505,192302,31566.5,194642,687354,836968,194596,280781,0,0,0
1,630,66,66,0.769424,192397,32963.4,197407,686259,841128,206860,282639,0,0,0
1,630,67,67,0.881935,191469,29747.3,196940,685890,835300,200526,283600,0,0,0
