name,value,group,weight
wo_bp_0014_20180701,344.35,oobs,0
wo_bp_0014_20180801,344.371,oobs,0
wo_bp_0014_20180901,344.391,oobs,0
wo_bp_0014_20181001,344.411,oobs,0
wo_bp_0014_20181101,344.43,oobs,0
wo_bp_0014_20181201,344.45,oobs,0
wo_bp_0014_20190101,344.469,oobs,0
wo_bp_0014_20190201,344.488,oobs,0
wo_bp_0014_20190301,344.507,oobs,0
wo_bp_0014_20190401,344.526,oobs,0
wo_bp_0014_20190501,344.546,oobs,0
wo_bp_0014_20190601,344.565,oobs,0
wo_bp_0014_20190701,344.584,oobs,0
wo_bp_0014_20190801,344.604,oobs,0
wo_bp_0014_20190901,344.623,oobs,0
wo_bp_0014_20191001,344.642,oobs,0
wo_bp_0014_20191101,344.66,oobs,0
wo_bp_0014_20191201,344.679,oobs,0
wo_bp_0014_20200101,344.697,oobs,0
wo_bp_0014_20200201,344.714,oobs,0
wo_bp_0014_20200301,344.731,oobs,0
wo_bp_0014_20200401,344.748,oobs,0
wo_bp_0014_20200501,344.764,oobs,0
wo_bp_0014_20200601,344.78,oobs,0
wo_bp_0014_20200701,344.795,oobs,0
wo_bp_0014_20200801,344.811,oobs,0
wo_bp_0014_20200901,344.826,oobs,0
wo_bp_0014_20201001,344.841,oobs,0
wo_bp_0014_20201101,344.855,oobs,0
wo_bp_0014_20201201,344.869,oobs,0
wo_bp_0014_20210101,344.883,oobs,0
wo_bp_0014_20210201,344.896,oobs,0
wo_bp_0014_20210301,344.908,oobs,0
wo_bp_0014_20210401,344.921,oobs,0
wo_bp_0014_20210501,344.933,oobs,0
wo_bp_0014_20210601,344.944,oobs,0
wo_bp_0014_20210701,344.955,oobs,0
wo_bp_0014_20210801,344.966,oobs,0
wo_bp_0014_20210901,344.977,oobs,0
wo_bp_0014_20211001,344.986,oobs,0
wo_bp_0014_20211101,344.996,oobs,0
wo_bp_0014_20211201,345.005,oobs,0
wp_bp_0018_20150113,376.55,burnin,0
wp_bp_0018_20150218,378.196,burnin,0
wp_bp_0018_20150318,380.025,burnin,0
wp_bp_0018_20150415,381,burnin,0
wp_bp_0018_20150524,384.383,burnin,0
wp_bp_0018_20150610,386.034,burnin,0
wp_bp_0018_20150712,385.313,burnin,0
wp_bp_0018_20150819,381.823,burnin,0
wp_bp_0018_20150915,380.512,burnin,0
wp_bp_0018_20151014,379.912,burnin,0
wp_bp_0018_20151118,384.658,burnin,0
wp_bp_0018_20151215,387.645,burnin,0
wp_bp_0018_20160118,389.443,burnin,0
wp_bp_0018_20160216,390.059,burnin,0
wp_bp_0018_20160323,390.357,burnin,0
wp_bp_0018_20160422,390.022,burnin,0
wp_bp_0018_20160517,391.546,burnin,0
wp_bp_0018_20160614,392.491,burnin,0
wp_bp_0018_20160721,387.888,zb007,0.5
wp_bp_0018_20160817,386.639,zb007,0.5
wp_bp_0018_20160912,387.706,zb007,0.5
wp_bp_0018_20161026,384.901,zb007,0.5
wp_bp_0018_20161123,386.06,zb007,0.5
wp_bp_0018_20161222,389.23,zb007,0.5
wp_bp_0018_20170110,389.656,zb007,0.5
wp_bp_0018_20170208,389.534,zb007,0.5
wp_bp_0018_20170317,390.54,zb007,0.5
wp_bp_0018_20170419,389.291,zb007,0.5
wp_bp_0018_20170512,388.254,zb007,0.5
wp_bp_0018_20170613,388.01,zb007,0.5
wp_bp_0018_20170711,385.572,zb007,0.5
wp_bp_0018_20170816,382.737,zb007,0.5
wp_bp_0018_20170915,382.951,zb007,0.5
wp_bp_0018_20171017,383.804,zb007,0.5
wp_bp_0018_20171114,383.438,zb007,0.5
wp_bp_0018_20171218,382.89,zb007,0.5
wp_bp_0018_20180112,384.353,zb007,0.5
wp_bp_0018_20180216,385.511,zb007,0.5
wp_bp_0018_20180313,385.145,zb007,0.5
wp_bp_0018_20180418,381.975,zb007,0.5
wp_bp_0018_20180515,380.665,zb007,0.5
wp_bp_0018_20190618,376.977,zb007,0.5
wp_bp_0018_20180720,374.233,zb007,0.5
wp_bp_0018_20180820,371.612,zb007,0.5
wp_bp_0018_20180915,369.54,zb007,0.5
wp_bp_0018_20181014,377.272,zb007,0.5
wp_bp_0018_20181109,380.36,zb007,0.5
wp_bp_0018_20181221,383.225,zb007,0.5
wp_bp_0018_20190220,388.498,zb007,0.5
wp_bp_0018_20190319,389.443,zb007,0.5
wp_bp_0018_20190409,387.949,zb007,0.5
wp_bp_0018_20190506,389.961,zb007,0.5
wp_bp_0018_20190606,389.931,zb007,0.5
wp_bp_0018_20190711,390.51,zb007,0.5
wp_bp_0018_20190808,385.755,zb007,0.5
wp_bp_0018_20190911,384.078,zb007,0.5
wp_bp_0018_20191015,383.621,zb007,0.5
